nohup: ignoring input
psi0.01_Mdot3e-10_M0.15_Rd10	[2025-10-02 20:43:08] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-10_M1.5e-01_Rd1.0e+01.h5
psi0.01_Mdot3e-10_M0.15_Rd20	Skipping: 0.01_3e-10_0.15_20
psi0.01_Mdot3e-10_M0.15_Rd50	Skipping: 0.01_3e-10_0.15_50
psi0.01_Mdot3e-10_M0.15_Rd100	[2025-10-02 20:46:20] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-10_M1.5e-01_Rd1.0e+02.h5
psi0.01_Mdot3e-10_M0.15_Rd150	Skipping: 0.01_3e-10_0.15_150
psi0.01_Mdot3e-10_M0.15_Rd200	Skipping: 0.01_3e-10_0.15_200
psi0.01_Mdot1e-9_M0.01_Rd10	Skipping: 0.01_1e-09_0.01_10
psi0.01_Mdot1e-9_M0.01_Rd20	Skipping: 0.01_1e-09_0.01_20
psi0.01_Mdot1e-9_M0.01_Rd50	Skipping: 0.01_1e-09_0.01_50
psi0.01_Mdot1e-9_M0.01_Rd100	[2025-10-02 23:38:16] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-09_M1.0e-02_Rd1.0e+02.h5
psi0.01_Mdot1e-9_M0.01_Rd150	Skipping: 0.01_1e-09_0.01_150
psi0.01_Mdot1e-9_M0.01_Rd200	Skipping: 0.01_1e-09_0.01_200
psi0.01_Mdot1e-9_M0.05_Rd10	Skipping: 0.01_1e-09_0.05_10
psi0.01_Mdot1e-9_M0.05_Rd20	Skipping: 0.01_1e-09_0.05_20
psi0.01_Mdot1e-9_M0.05_Rd50	Skipping: 0.01_1e-09_0.05_50
psi0.01_Mdot1e-9_M0.05_Rd100	[2025-10-02 23:46:34] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-09_M5.0e-02_Rd1.0e+02.h5
psi0.01_Mdot1e-9_M0.05_Rd150	Skipping: 0.01_1e-09_0.05_150
psi0.01_Mdot1e-9_M0.05_Rd200	Skipping: 0.01_1e-09_0.05_200
psi0.01_Mdot1e-9_M0.1_Rd10	Skipping: 0.01_1e-09_0.1_10
psi0.01_Mdot1e-9_M0.1_Rd20	Skipping: 0.01_1e-09_0.1_20
psi0.01_Mdot1e-9_M0.1_Rd50	Skipping: 0.01_1e-09_0.1_50
psi0.01_Mdot1e-9_M0.1_Rd100	Skipping: 0.01_1e-09_0.1_100
psi0.01_Mdot1e-9_M0.1_Rd150	Skipping: 0.01_1e-09_0.1_150
psi0.01_Mdot1e-9_M0.1_Rd200	Skipping: 0.01_1e-09_0.1_200
psi0.01_Mdot1e-9_M0.125_Rd10	[2025-10-02 23:51:19] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-09_M1.2e-01_Rd1.0e+01.h5
psi0.01_Mdot1e-9_M0.125_Rd20	Skipping: 0.01_1e-09_0.125_20
psi0.01_Mdot1e-9_M0.125_Rd50	Skipping: 0.01_1e-09_0.125_50
psi0.01_Mdot1e-9_M0.125_Rd100	Skipping: 0.01_1e-09_0.125_100
psi0.01_Mdot1e-9_M0.125_Rd150	Skipping: 0.01_1e-09_0.125_150
psi0.01_Mdot1e-9_M0.125_Rd200	Skipping: 0.01_1e-09_0.125_200
